datetime,temp,humidity,precip,windspeed,cloudcover
2023-04-01T00:00:00,0,69.32,0,24,50.6
2023-04-01T01:00:00,0,69.27,0.003,24.1,50.6
2023-04-01T02:00:00,0,69.28,0.006,27.6,50.6
2023-04-01T03:00:00,0,69.29,0,22.3,50.7
2023-04-01T04:00:00,0,74.45,0.004,22.4,29.9
2023-04-01T05:00:00,-1,80.03,0,24.1,89.7
2023-04-01T06:00:00,-1,74.43,0,22.4,29.9
2023-04-01T07:00:00,-1,74.41,0.004,20.6,29.5
2023-04-01T08:00:00,-1,74.28,0,22.4,29.5
2023-04-01T09:00:00,-1,74.17,0,24.2,29.6
2023-04-01T10:00:00,-1,79.87,0.001,20.6,50.4
2023-04-01T11:00:00,0,59.54,0,27.7,29.5
2023-04-01T12:00:00,1,51.42,0,25.8,67.8
2023-04-01T13:00:00,1,51.27,0,29.4,67.8
2023-04-01T14:00:00,1,55.16,0,25.9,20.7
2023-04-01T15:00:00,2,51.36,0,22.3,41.6
2023-04-01T16:00:00,3,47.91,0,22.3,20.7
2023-04-01T17:00:00,3,47.9,0,16.6,20.7
2023-04-01T18:00:00,3,51.79,0,16.5,2.3
2023-04-01T19:00:00,3,55.94,0,13,18.4
2023-04-01T20:00:00,2,60.02,0,11.2,11.5
2023-04-01T21:00:00,2,64.58,0,9.5,28.5
2023-04-01T22:00:00,2,60,0,14.9,5.2
2023-04-01T23:00:00,2,51.83,0,16.6,5.2
2023-04-02T00:00:00,1,55.48,0,14.9,0
2023-04-02T01:00:00,1,55.42,0,18.4,0
2023-04-02T02:00:00,1,55.4,0,16.6,0
2023-04-02T03:00:00,0,59.42,0,14.9,0
2023-04-02T04:00:00,0,59.48,0,14.9,0
2023-04-02T05:00:00,0,59.43,0,13.1,0
2023-04-02T06:00:00,-1,63.81,0,11.4,0
2023-04-02T07:00:00,-1,63.86,0,11.4,0
2023-04-02T08:00:00,-1,68.85,0,13.2,0
2023-04-02T09:00:00,0,64.06,0,14.9,0
2023-04-02T10:00:00,1,59.57,0,13.2,0
2023-04-02T11:00:00,1,59.36,0,15,0
2023-04-02T12:00:00,1,55.03,0,18.5,28.5
2023-04-02T13:00:00,1.1,54.99,0,20.6,10
2023-04-02T14:00:00,2,47.65,0,22.3,62.7
2023-04-02T15:00:00,2,40.88,0,24,62.1
2023-04-02T16:00:00,2,40.79,0,22.2,29.1
2023-04-02T17:00:00,2,43.99,0,22.2,49.5
2023-04-02T18:00:00,2,47.54,0,16.6,49.7
2023-04-02T19:00:00,2,51.36,0,16.6,50.1
2023-04-02T20:00:00,2,51.47,0,13,2.5
2023-04-02T21:00:00,2,55.62,0,11.2,29.4
2023-04-02T22:00:00,1,55.4,0,20.5,99.5
2023-04-02T23:00:00,1,59.71,0,14.8,29.3
2023-04-03T00:00:00,1,59.64,0,14.9,49.5
2023-04-03T01:00:00,1,59.73,0,18.4,29.1
2023-04-03T02:00:00,0,69.06,0,14.9,2.5
2023-04-03T03:00:00,0,69.12,0,18.4,0
2023-04-03T04:00:00,-1,74.25,0,14.9,0
2023-04-03T05:00:00,-1,74.31,0,16.7,0
2023-04-03T06:00:00,-1,69.01,0,14.9,0
2023-04-03T07:00:00,-2,74.13,0,16.7,0
2023-04-03T08:00:00,-2,68.72,0,16.8,28.5
2023-04-03T09:00:00,-2,68.54,0,22.5,49.6
2023-04-03T10:00:00,-1,63.73,0,24.2,28.6
2023-04-03T11:00:00,-0.9,63.64,0,22.5,28.7
2023-04-03T12:00:00,0,54.85,0,24.2,18.4
2023-04-03T13:00:00,1,47.33,0,27.7,20.7
2023-04-03T14:00:00,1,43.82,0,26,20.7
2023-04-03T15:00:00,1,43.78,0,24.2,20.7
2023-04-03T16:00:00,2,34.99,0,24.2,11.5
2023-04-03T17:00:00,2,37.79,0,22.4,23
2023-04-03T18:00:00,2,34.94,0,22.3,23
2023-04-03T19:00:00,2,40.8,0,16.6,23
2023-04-03T20:00:00,1,43.77,0,14.8,70.1
2023-04-03T21:00:00,0,47,0,13,54.4
2023-04-03T22:00:00,0,47.09,0,11.3,26
2023-04-03T23:00:00,0,50.94,0,13,26
2023-04-04T00:00:00,0,55.06,0,11.3,6.9
2023-04-04T01:00:00,-1,63.73,0,13,20.7
2023-04-04T02:00:00,-1,63.81,0,9.5,2.3
2023-04-04T03:00:00,-1,63.91,0,7.8,0
2023-04-04T04:00:00,-2,68.69,0,7.8,6.9
2023-04-04T05:00:00,-2,68.69,0,9.5,18.4
2023-04-04T06:00:00,-2,68.8,0,7.7,0
2023-04-04T07:00:00,-2,68.81,0,9.5,0
2023-04-04T08:00:00,-2,74.12,0,11.3,0
2023-04-04T09:00:00,-1,68.89,0,13.1,2.3
2023-04-04T10:00:00,0,59.46,0,16.6,0
2023-04-04T11:00:00,0,54.92,0,18.4,0
2023-04-04T12:00:00,0.1,59.11,0,20.5,0
2023-04-04T13:00:00,1,55.05,0,20.5,0
2023-04-04T14:00:00,1,51.07,0,16.6,20.7
2023-04-04T15:00:00,1.1,51.02,0,18.4,18.4
2023-04-04T16:00:00,2,44.15,0,18.3,26
2023-04-04T17:00:00,2,44.17,0,18.3,28.2
2023-04-04T18:00:00,2,44.18,0,14.7,70.1
2023-04-04T19:00:00,2,47.7,0,14.6,77.6
2023-04-04T20:00:00,1,55.18,0,9.4,79.9
2023-04-04T21:00:00,1,55.3,0,7.6,89.7
2023-04-04T22:00:00,1,59.72,0.001,9.4,89.7
2023-04-04T23:00:00,1,69.44,0,16.4,50.7
2023-04-05T00:00:00,0,86.21,0.002,13,29.9
2023-04-05T01:00:00,0,86.52,0.1,12.9,100
2023-04-05T02:00:00,-1,99.74,0.001,11.2,89.7
2023-04-05T03:00:00,0,86.5,0.003,14.8,99.9
2023-04-05T04:00:00,0,86.48,0.198,14.8,100
2023-04-05T05:00:00,0,86.43,0,16.5,100
2023-04-05T06:00:00,0,86.5,0,14.8,100
2023-04-05T07:00:00,0,93,0.295,16.6,100
2023-04-05T08:00:00,0,93,0.007,18.3,100
2023-04-05T09:00:00,0,93,0,18.4,99.9
2023-04-05T10:00:00,1,93.08,0.011,18.3,100
2023-04-05T11:00:00,1,93.07,0.008,22.2,100
2023-04-05T12:00:00,1,99.9,0,23.9,100
2023-04-05T13:00:00,2,93.15,0.112,23.8,99.9
2023-04-05T14:00:00,2,93.11,0.007,22.1,100
2023-04-05T15:00:00,3,86.87,0,22,100
2023-04-05T16:00:00,3,93.16,0.103,14.6,100
2023-04-05T17:00:00,3,86.9,0.01,12.9,100
2023-04-05T18:00:00,2,93.15,0,14.6,100
2023-04-05T19:00:00,2,99.91,0.205,12.8,100
2023-04-05T20:00:00,3,93.28,0.022,12.8,100
2023-04-05T21:00:00,3,93.23,0,9.2,100
2023-04-05T22:00:00,3,93.24,1.976,5.3,100
2023-04-05T23:00:00,3,93.27,0.02,7.5,99.9
2023-04-06T00:00:00,2,99.97,0,5.4,89.7
2023-04-06T01:00:00,2,93.24,0.88,9.3,50.7
2023-04-06T02:00:00,2,93.24,0.006,7.6,1.9
2023-04-06T03:00:00,2,93.23,0,9.3,1.8
2023-04-06T04:00:00,2,93.22,0.199,9.3,97.7
2023-04-06T05:00:00,1.1,99.96,0.006,5.5,1.4
2023-04-06T06:00:00,1,93.17,0,11.2,1.3
2023-04-06T07:00:00,1,93.16,0.003,11.1,0.8
2023-04-06T08:00:00,1.1,93.14,0.001,13,0.8
2023-04-06T09:00:00,1.1,99.9,0,16.5,29.9
2023-04-06T10:00:00,2,93.19,0,20.3,99.9
2023-04-06T11:00:00,3,99.92,0,18.2,100
2023-04-06T12:00:00,3,93.23,0,18.3,100
2023-04-06T13:00:00,3,93.15,0,16.5,100
2023-04-06T14:00:00,4,87.04,0,14.8,100
2023-04-06T15:00:00,5,87.04,0,14.8,100
2023-04-06T16:00:00,6.9,81.45,0,14.8,50.6
2023-04-06T17:00:00,6,81.23,0,14.8,29.2
2023-04-06T18:00:00,6,75.72,0,16.5,7.4
2023-04-06T19:00:00,5,81.02,0,13,0
2023-04-06T20:00:00,3.1,86.76,0,11.2,0
2023-04-06T21:00:00,2.1,92.98,0,12.9,0
2023-04-06T22:00:00,2.1,92.97,0,16.3,0
2023-04-06T23:00:00,0.1,92.98,0,11,0
2023-04-07T00:00:00,0.1,92.98,0,12.8,0
2023-04-07T01:00:00,0.1,92.97,0,14.6,0
2023-04-07T02:00:00,0.1,92.97,0,11.1,0
2023-04-07T03:00:00,0.1,93.03,0,11.1,0
2023-04-07T04:00:00,-0.9,99.86,0,11.1,0
2023-04-07T05:00:00,-1.9,99.84,0,11.2,0
2023-04-07T06:00:00,-0.9,92.97,0,9.4,0
2023-04-07T07:00:00,-0.9,99.77,0,11.1,0
2023-04-07T08:00:00,1.1,92.77,0,9.4,0
2023-04-07T09:00:00,4.1,80.49,0,9.3,0
2023-04-07T10:00:00,6,65.48,0,11.1,0
2023-04-07T11:00:00,9,57.46,0,12.9,0
2023-04-07T12:00:00,11,46.94,0,14.7,0
2023-04-07T13:00:00,12,40.87,0,20.4,0
2023-04-07T14:00:00,12,47.02,0,13,0
2023-04-07T15:00:00,12,43.74,0,16.5,0
2023-04-07T16:00:00,12.9,38.16,0,20.3,0
2023-04-07T17:00:00,11,37.54,0,18.3,0
2023-04-07T18:00:00,11,40.38,0,18.2,0
2023-04-07T19:00:00,8,52.87,0,12.9,0
2023-04-07T20:00:00,5.1,64.74,0,12.9,0
2023-04-07T21:00:00,4,69.74,0,9.4,0
2023-04-07T22:00:00,3,69.67,0,9.4,0
2023-04-07T23:00:00,2,80.4,0,9.4,0
2023-04-08T00:00:00,1,86.3,0,5.5,0
2023-04-08T01:00:00,0,86.43,0,3.7,0
2023-04-08T02:00:00,0,86.45,0,3.7,0
2023-04-08T03:00:00,-0.9,92.76,0,5.5,0
2023-04-08T04:00:00,-0.9,92.78,0,2,0
2023-04-08T05:00:00,-1.9,99.72,0,3.7,0
2023-04-08T06:00:00,-1,92.91,0,5.5,0
2023-04-08T07:00:00,-1,92.89,0,3.7,0
2023-04-08T08:00:00,1,92.91,0,5.5,0
2023-04-08T09:00:00,3,80.57,0,7.6,0
2023-04-08T10:00:00,6,60.98,0,12.9,0
2023-04-08T11:00:00,7,56.88,0,12.8,0
2023-04-08T12:00:00,8,56.88,0,11.1,0
2023-04-08T13:00:00,9,49.56,0,11.1,0
2023-04-08T14:00:00,9,42.9,0,12.8,0
2023-04-08T15:00:00,9,42.91,0,16.5,0
2023-04-08T16:00:00,9,37.08,0,18.2,0
2023-04-08T17:00:00,8,39.62,0,16.5,0
2023-04-08T18:00:00,9,36.96,0,12.9,0
2023-04-08T19:00:00,8,36.75,0,12.9,0
2023-04-08T20:00:00,7,39.31,0,7.5,0
2023-04-08T21:00:00,6,48.98,0,7.6,0
2023-04-08T22:00:00,3,60.11,0,3.7,0
2023-04-08T23:00:00,4,60.49,0,9.3,0
2023-04-09T00:00:00,4,56.17,0,5.4,5.2
2023-04-09T01:00:00,4,60.59,0,7.5,20.1
2023-04-09T02:00:00,3,69.89,0,5.4,63.6
2023-04-09T03:00:00,1,80.33,0,3.6,59.4
2023-04-09T04:00:00,1,80.38,0,1.9,5.2
2023-04-09T05:00:00,2.9,70.01,0,7.5,20.9
2023-04-09T06:00:00,0,86.42,0,0.1,14.8
2023-04-09T07:00:00,0,86.38,0,3.6,9.4
2023-04-09T08:00:00,3,69.99,0,5.4,7.4
2023-04-09T09:00:00,4,70.05,0,9.3,6.9
2023-04-09T10:00:00,6,60.97,0,9.4,0
2023-04-09T11:00:00,7,52.95,0,12.9,0
2023-04-09T12:00:00,8,49.46,0,12.9,0
2023-04-09T13:00:00,9,46.23,0,12.9,9.9
2023-04-09T14:00:00,9,46.18,0,14.6,9.9
2023-04-09T15:00:00,9,42.9,0,20.2,5.2
2023-04-09T16:00:00,9,39.88,0,20.2,7.4
2023-04-09T17:00:00,10,37.39,0,22,5.2
